[Summary]
Cell: 243 NMC640 30C
First Protocol: C:\Users\OEMS\Documents\EC-Lab\Data\Mitch\Protocols\AMIDR Form.mps
Mass (mg): 1.259
Capacity (mAHr): 0.283
Started: 05/02/2023 14:36:12.211
[End Summary]
[Data]
Step Type,Run Time (h),Current (A),Potential vs. Counter (V),Potential (V),Capacity (Ah),Step Number
1,0.0,1.4064125e-05,1.6427926,1.3254753,0.0,1
1,0.00014805555181535764,1.4154457e-05,1.6528366,1.3337466,2.095648720963962e-09,1
1,0.03675816573807728,1.4153567000000001e-05,1.6628543,1.3431156,5.202826279981786e-07,1
1,0.12765999677503714,1.4155094999999999e-05,1.6728911,1.3533623,1.806909102452246e-06,1
1,0.21689055007643926,1.4154204e-05,1.682947,1.3634564,3.069875990320359e-06,1
1,0.2995695479877919,1.4153885999999998e-05,1.6929649,1.3736268,4.240110792998121e-06,1
1,0.3762010460519175,1.4153758e-05,1.7030017,1.3839117,5.324743163820718e-06,1
1,0.44640337761179083,1.4153631e-05,1.7130196,1.3940631,6.318373473100313e-06,1
1,0.5123742092785605,1.4154204e-05,1.7230372,1.4041762,7.252109895771369e-06,1
1,0.5760454298923126,1.4154648000000001e-05,1.7330933,1.4143658,8.153300363892171e-06,1
1,0.6386547060884469,1.4154077e-05,1.7431111,1.4244981,9.039460857533487e-06,1
1,0.7006691489662747,1.4153949e-05,1.753148,1.4345158,9.917197961455522e-06,1
1,0.7628592029507771,1.4154332e-05,1.7631657,1.4447626,1.079741740267077e-05,1
1,0.8252164235977236,1.4153822e-05,1.7731835,1.4547422,1.1680002885838141e-05,1
1,0.8871346998113141,1.4154204e-05,1.7832012,1.4648172,1.255637405014395e-05,1
1,0.9494260315710361,1.415414e-05,1.7932191,1.4749495,1.343802355506773e-05,1
1,1.0102144189242812,1.4153949e-05,1.8032939,1.4851389,1.42984067700169e-05,1
1,1.0693301952086687,1.4153885999999998e-05,1.81335,1.4953666,1.513512079959973e-05,1
1,1.125526804900134,1.415414e-05,1.823444,1.5053271,1.5930519224149178e-05,1
1,1.178838970760177,1.4153885999999998e-05,1.8334619,1.5154785,1.6685091366201223e-05,1
1,1.2280275812757544,1.4153885999999998e-05,1.8434796,1.525668,1.738130133297729e-05,1
