[Summary]
Cell: 272 NMC811 30C
First Protocol: C:\Users\OEMS\Documents\EC-Lab\Data\Mitch\Protocols\AMIDR Form.mps
Mass (mg): 1.754
Capacity (mAHr): 0.395
Started: 06/07/2023 17:15:45.677
[End Summary]
[Data]
Step Type,Run Time (h),Current (A),Potential vs. Counter (V),Potential (V),Capacity (Ah),Step Number
1,0.0,1.9619469e-05,3.0142775,2.7037804,0.0,1
1,4.061111008518814e-05,1.9752871000000003e-05,3.024312,2.7111375,8.021937274477548e-10,1
1,0.0001075555528384737,1.9752806e-05,3.0343299,2.7212317,2.1245538504380323e-09,1
1,0.0001780555510574939,1.9752871000000003e-05,3.0444047,2.7312493,3.5171491464393e-09,1
1,0.0002517777714173361,1.9753698e-05,3.0545561,2.7413244,4.973394514164991e-09,1
1,0.0003278333250515667,1.9753061e-05,3.0646122,2.7514377,6.4757304220563836e-09,1
1,0.00040555554531036055,1.9753508e-05,3.0747254,2.76157,8.010986030205256e-09,1
1,0.00048677776548073666,1.9753508e-05,3.0848956,2.7717021,9.615379040336444e-09,1
1,0.0005704999855879577,1.9753061e-05,3.0949707,2.7818725,1.1269155068012581e-08,1
1,0.0006551666501157644,1.9752363e-05,3.1050076,2.7918713,1.294158680747367e-08,1
1,0.0007427777590136328,1.9753953000000002e-05,3.1151016,2.8019652,1.467218226639347e-08,1
1,0.0008341666455938442,1.975389e-05,3.1251957,2.8120022,1.647739884019312e-08,1
1,0.000927999976556748,1.975357e-05,3.135309,2.8221154,1.8330900822145238e-08,1
1,0.0010245555296731054,1.9753635e-05,3.1453266,2.8320949,2.0238175480833478e-08,1
1,0.0011247777493635011,1.9752555e-05,3.1553445,2.84217,2.2217881679948832e-08,1
1,0.0012282777467488711,1.9753698e-05,3.1654196,2.8521497,2.42623318657279e-08,1
1,0.001338999966174015,1.9752616000000002e-05,3.1754563,2.8622437,2.644944487191323e-08,1
1,0.0014523332966443075,1.9752555e-05,3.1854742,2.8722615,2.868813941617393e-08,1
1,0.0015721666269503962,1.9753126e-05,3.195549,2.8822982,3.105522507273902e-08,1
1,0.0016976110682258472,1.9753443e-05,3.2055669,2.8923924,3.353314827848226e-08,1
1,0.0018304999537576804,1.9752936e-05,3.2156801,2.9024675,3.615812546521839e-08,1
1,0.0019676110614050735,1.9753188e-05,3.2256978,2.912447,3.886650423395137e-08,1
1,0.0021166666131951692,1.9753061e-05,3.2357728,2.9225411,4.181082117029776e-08,1
1,0.002273833275891472,1.9753508e-05,3.245867,2.9326162,4.4915356442642706e-08,1
1,0.002440277716131176,1.9753825e-05,3.2558846,2.9425766,4.8203157371944845e-08,1
1,0.002621611044883644,1.9752998e-05,3.2659216,2.9526517,5.1785054830730787e-08,1
1,0.0028114443734213834,1.9753443e-05,3.2761111,2.9627459,5.553485629790359e-08,1
1,0.0030230554791867504,1.9753698e-05,3.2861288,2.9728208,5.971483625306023e-08,1
1,0.0032466665846489664,1.9752426e-05,3.2961657,2.9828577,6.413185589015484e-08,1
1,0.003492388800663725,1.9753825e-05,3.3061836,2.9929328,6.898563423421647e-08,1
1,0.0037571665717526528,1.9752998e-05,3.3162775,3.0029123,7.421581350794683e-08,1
1,0.004048611008834592,1.9752871000000003e-05,3.3263526,3.012892,7.997275342916449e-08,1
1,0.004374944333924053,1.9753825e-05,3.3363705,3.0230625,8.641886388520813e-08,1
1,0.004727666547235761,1.975338e-05,3.3464072,3.0330038,9.33862397664537e-08,1
1,0.00512922209264717,1.9753443e-05,3.356463,3.0429261,1.013182235225621e-07,1
1,0.005574833192501197,1.9753635e-05,3.3664999,3.0528677,1.101204380913534e-07,1
1,0.006082388735234823,1.9752681e-05,3.3765175,3.0628471,1.20146241793409e-07,1
1,0.006673388720304906,1.975357e-05,3.3865926,3.0730367,1.318203205142377e-07,1
1,0.007365888702810883,1.9753443e-05,3.3966486,3.0829592,1.4549932343016068e-07,1
1,0.008190222015319807,1.9753061e-05,3.4066663,3.0930531,1.617824614274626e-07,1
1,0.009190166434503527,1.9753126e-05,3.4167986,3.1029756,1.815344841102552e-07,1
1,0.010450777513768925,1.9753316e-05,3.4268355,3.1130123,2.064354762556031e-07,1
1,0.012039888584735715,1.9753061e-05,3.4369488,3.1230493,2.378253219338755e-07,1
1,0.01415227742026117,1.9752806e-05,3.4469666,3.1330099,2.7955153635268414e-07,1
1,0.017046055124935972,1.975357e-05,3.4570796,3.1430466,3.367125612669107e-07,1
1,0.021061888356820824,1.9753252999999997e-05,3.4670975,3.1530645,4.16037559697301e-07,1
1,0.026853832654948444,1.9752616000000002e-05,3.4771152,3.1628914,5.30446282879346e-07,1
1,0.03548605465910239,1.9752489e-05,3.487133,3.1729665,7.00959036340937e-07,1
1,0.04815749878343922,1.9753698e-05,3.4971697,3.1829841,9.512591506472478e-07,1
1,0.06548338723463934,1.975338e-05,3.5072258,3.1928494,1.2934983873306261e-06,1
1,0.08665433114426074,1.9753061e-05,3.5172625,3.2028861,1.711689439123393e-06,1
1,0.109849052780535,1.9753061e-05,3.5273185,3.2130566,2.169855996760126e-06,1
1,0.13422366327589164,1.9753061e-05,3.5373363,3.2229981,2.651329838164254e-06,1
1,0.15926044042118723,1.9752744999999998e-05,3.547354,3.2330539,3.145882918972936e-06,1
1,0.18606999529947643,1.9753252999999997e-05,3.5574291,3.2432053,3.6754538469738836e-06,1
1,0.21561255010872427,1.9753825e-05,3.5674851,3.2535093,4.259011262214743e-06,1
1,0.2501029936818668,1.9753252999999997e-05,3.5775027,3.2636797,4.940306144760921e-06,1
1,0.2926557703846711,1.9753698e-05,3.5875397,3.273793,5.780858082802035e-06,1
1,0.35416715771965135,1.9753825e-05,3.5975573,3.283906,6.995903454770644e-06,1
1,0.659031538907018,1.9753316e-05,3.6075754,3.2938285,1.301798336160224e-05,1
1,0.973551308739358,1.9753953000000002e-05,3.6176312,3.3036745,1.923084379729856e-05,1
1,1.3068846914321248,1.9752744999999998e-05,3.6247866,3.3111353,2.5815325029307152e-05,1
1,1.6402180762852852,1.9753252999999997e-05,3.6305304,3.3171079,3.239978352105741e-05,1
1,1.9735514611384415,1.9753508e-05,3.6352243,3.3219163,3.898420415759211e-05,1
1,2.306884845991598,1.9753252999999997e-05,3.6394606,3.326267,4.556860048005244e-05,1
1,2.6402182308447584,1.9752871000000003e-05,3.6432385,3.3301406,5.215300550047991e-05,1
