[Summary]
Cell: 246 NMC640 30C
First Protocol: C:\Users\OEMS\Documents\EC-Lab\Data\Mitch\Protocols\AMIDR Form.mps
Mass (mg): 1.208
Capacity (mAHr): 0.272
Started: 05/02/2023 14:36:29.764
[End Summary]
[Data]
Step Type,Run Time (h),Current (A),Potential vs. Counter (V),Potential (V),Capacity (Ah),Step Number
1,0.0,1.3526061e-05,1.597394,1.2808219,0.0,1
1,0.00020938888359928063,1.3601013999999999e-05,1.6074048,1.2908812,2.84798185646327e-09,1
1,0.03231988807241983,1.3601205e-05,1.6174414,1.300975,4.395860996308944e-07,1
1,0.11333383047027988,1.3601078e-05,1.6274588,1.3108398,1.541453630730148e-06,1
1,0.22255710548884558,1.3601205e-05,1.6374763,1.3209145,3.0269972706483678e-06,1
1,0.3583366576143211,1.3601142e-05,1.6474938,1.3310083,4.873729354375766e-06,1
1,0.510939209314812,1.3601269e-05,1.6575303,1.3410257,6.949262756973557e-06,1
1,0.6645227054349664,1.3601205e-05,1.6675669,1.3511195,9.038133484133727e-06,1
1,0.809165812892085,1.3601078e-05,1.6776416,1.3612705,1.100540062219401e-05,1
1,0.9396625873732369,1.3600760999999999e-05,1.6876781,1.3713834,1.278026895939936e-05,1
1,1.0581233621584436,1.3600951e-05,1.6977147,1.3814772,1.439143537042652e-05,1
1,1.1683459708872195,1.3600696e-05,1.7078276,1.3916855,1.5890561600715488e-05,1
1,1.2748658029308961,1.3600887e-05,1.717864,1.4018174,1.733933279662145e-05,1
1,1.3794606349978777,1.3601459999999999e-05,1.7278814,1.4117967,1.87619187505744e-05,1
1,1.4835800226261764,1.3601078e-05,1.7378989,1.4219668,2.017803446705536e-05,1
1,1.5889294102395797,1.3601715e-05,1.7479165,1.4320415,2.161088936339319e-05,1
1,1.6951717422866164,1.3601524e-05,1.7579339,1.4420398,2.305589219739743e-05,1
1,1.8016554632196171,1.3601205e-05,1.7679514,1.4521527,2.450416884674934e-05,1
1,1.9086657397018036,1.3600506e-05,1.777988,1.4622656,2.5959609377154978e-05,1
1,2.013861071761514,1.3600887e-05,1.7880435,1.4724739,2.739036470307943e-05,1
1,2.117686626060034,1.3602159000000001e-05,1.7980609,1.4824531,2.8802491389769698e-05,1
1,2.216812013748794,1.3600825e-05,1.8081166,1.4926041,3.015069224211542e-05,1
1,2.3123676237029898,1.3600825e-05,1.8181341,1.5027361,3.145033974728521e-05,1
1,2.402774733719525,1.3600696e-05,1.8281516,1.5126773,3.267995306484112e-05,1
1,2.4883026771284658,1.3600951e-05,1.8381689,1.5227901,3.384320054418418e-05,1
1,2.5693831205912567,1.3600634e-05,1.8481864,1.5329602,3.494595670521942e-05,1
1,2.644868008566231,1.3601459999999999e-05,1.858242,1.5429395,3.597260669072366e-05,1
1,2.716408952144517,1.3600696e-05,1.8682786,1.5530334,3.694561724126049e-05,1
1,2.782780895785392,1.3600696e-05,1.878296,1.5630126,3.784832553289789e-05,1
1,2.8462648950167724,1.3600887e-05,1.8883135,1.5730492,3.871175536269115e-05,1
1,2.9058968387392414,1.3600634e-05,1.8983501,1.5832002,3.9522792292474356e-05,1
1,2.9626450602744,1.3600634e-05,1.9083674,1.5932558,4.029460769451772e-05,1
1,3.0163281707355583,1.3601205e-05,1.9183849,1.6031396,4.102473864056584e-05,1
1,3.067709225669039,1.3600696e-05,1.9284787,1.6133097,4.172356786208538e-05,1
1,3.116600002854886,1.3601396e-05,1.9384962,1.6233463,4.2388532862152285e-05,1
1,3.162974780071192,1.3600887e-05,1.9485136,1.6333447,4.301927815443334e-05,1
1,3.2069067795393,1.3601459999999999e-05,1.9585311,1.6434575,4.361679953639116e-05,1
1,3.249167667916531,1.360165e-05,1.9685485,1.6535704,4.419159142322021e-05,1
1,3.2886671118827415,1.3602031000000001e-05,1.9786422,1.6635687,4.472882638754975e-05,1
1,3.3267183891998306,1.3601269e-05,1.9886599,1.67351,4.524636437136313e-05,1
1,3.362605555432003,1.3600696e-05,1.9986773,1.6835274,4.5734466766839535e-05,1
1,3.3968623883505806,1.3601524e-05,2.0087137,1.6936975,4.620039584581238e-05,1
1,3.429868776839858,1.3600887e-05,2.0187314,1.7037531,4.664931666291438e-05,1
1,3.4611136097949,1.3600696e-05,2.0287488,1.7136561,4.707427689181641e-05,1
1,3.4908089983242663,1.3600825e-05,2.0387661,1.7237308,4.747816319627801e-05,1
1,3.5189182757617194,1.3601333e-05,2.0487835,1.7337291,4.7860476393860706e-05,1
1,3.5461182754323977,1.360057e-05,2.0588202,1.7436894,4.8230423100207055e-05,1
1,3.571913219564542,1.3601587e-05,2.0688567,1.753764,4.858125968365107e-05,1
1,3.5966577748205086,1.3601078e-05,2.0788741,1.7637625,4.8917809037107984e-05,1
1,3.620323663422872,1.3600951e-05,2.0889106,1.7737989,4.923968816902121e-05,1
1,3.6430623298142333,1.3601142e-05,2.0989473,1.7837783,4.9548955803587096e-05,1
1,3.664887773994439,1.3600760999999999e-05,2.10906,1.7938529,4.9845803209036806e-05,1
1,3.686173218181175,1.3601078e-05,2.1190774,1.8039849,5.0135306192317723e-05,1
1,3.7062940512708975,1.3600315e-05,2.1290951,1.8139452,5.040896973867538e-05,1
1,3.7256599399253223,1.3600760999999999e-05,2.1391315,1.8238863,5.067236197043055e-05,1
1,3.7445375508078746,1.3600951e-05,2.1492062,1.8340945,5.092911530326493e-05,1
1,3.7628365505863304,1.3600951e-05,2.1592238,1.8440739,5.117799935460722e-05,1
1,3.780172272598664,1.3600760999999999e-05,2.1692603,1.8540913,5.1413781649904217e-05,1
1,3.7971828279482693,1.3600696e-05,2.1792777,1.8641469,5.164514117326319e-05,1
1,3.81368904997065,1.3600760999999999e-05,2.1892951,1.8742216,5.1869641657742884e-05,1
1,3.829603660889078,1.360184e-05,2.1993699,1.8841628,5.2086096079087295e-05,1
1,3.845193882922547,1.3601013999999999e-05,2.2093873,1.8941993,5.2298138675692694e-05,1
1,3.860095493853239,1.3601587e-05,2.2194047,1.9042931,5.250081512288465e-05,1
1,3.8746671603434835,1.3601459999999999e-05,2.2294412,1.9142532,5.269900428529074e-05,1
1,3.888801771283467,1.3601333e-05,2.2394588,1.924328,5.289124895078006e-05,1
1,3.9025509377836665,1.3600760999999999e-05,2.2495143,1.9344027,5.30782512835079e-05,1
1,3.916084993175367,1.3601078e-05,2.259532,1.9445156,5.326232778608985e-05,1
1,3.9291044374621804,1.3601142e-05,2.2695684,1.9544758,5.3439405146987276e-05,1
1,3.9418324373080806,1.3599933e-05,2.2796049,1.9643787,5.3612515489028654e-05,1
1,3.9542803816018113,1.3601078e-05,2.2896414,1.9745297,5.3781812936000626e-05,1
1,3.9662552703457195,1.3601269e-05,2.2996969,1.9844708,5.3944676799259604e-05,1
1,3.978129547979733,1.3600825e-05,2.3098099,1.9946409,5.4106172643229363e-05,1
1,3.989793047838522,1.3601142e-05,2.3198276,2.0045631,5.426480281005324e-05,1
1,4.00107543659082,1.3600887e-05,2.329845,2.0147142,5.441825155309422e-05,1
1,4.012138103123545,1.3601396e-05,2.3399196,2.0247889,5.456871338353927e-05,1
1,4.022996269658744,1.3600696e-05,2.349937,2.03473,5.471639435424822e-05,1
1,4.03358476953055,1.3601013999999999e-05,2.3599927,2.0449002,5.4860407605933963e-05,1
1,4.04393754718298,1.3600124e-05,2.3700101,2.0549366,5.500121480088278e-05,1
1,4.054073491504711,1.3600378999999999e-05,2.3800657,2.064935,5.513907292391122e-05,1
1,4.06401293582882,1.3601142e-05,2.3900831,2.0749142,5.527425827988351e-05,1
1,4.073745713488755,1.3601459999999999e-05,2.4001198,2.0850844,5.540663278823708e-05,1
1,4.083215102263,1.3601459999999999e-05,2.4102325,2.0951209,5.553542500740549e-05,1
1,4.092689102148297,1.3600760999999999e-05,2.4202499,2.1051574,5.5664280162435854e-05,1
1,4.101838879815294,1.3601142e-05,2.4302676,2.1151941,5.578872562570678e-05,1
1,4.110791435262461,1.3600252999999999e-05,2.4403234,2.125078,5.5910488544897074e-05,1
1,4.119644268488611,1.360057e-05,2.4503405,2.1352479,5.6030895214655386e-05,1
1,4.128398879493728,1.3601459999999999e-05,2.4603579,2.145189,5.614996592579296e-05,1
1,4.136915379390617,1.3600378999999999e-05,2.4705091,2.1553593,5.626579808488467e-05,1
1,4.1454119348433025,1.360165e-05,2.4805264,2.1653576,5.638135894987836e-05,1
1,4.1536894347430895,1.3600951e-05,2.4905438,2.1754322,5.6493940380761714e-05,1
1,4.161764379089764,1.3601396e-05,2.5005615,2.1854117,5.660376697335413e-05,1
1,4.1697816567704775,1.3600825e-05,2.5105789,2.1953909,5.671280912950594e-05,1
1,4.177681323341497,1.3600634e-05,2.5206535,2.2054846,5.6820251717377975e-05,1
1,4.185481323247069,1.3601715e-05,2.5307093,2.2155976,5.6926338604412565e-05,1
1,4.193164045376272,1.3601142e-05,2.5407267,2.225596,5.7030830499227624e-05,1
1,4.200703934173872,1.3600951e-05,2.5507441,2.2354989,5.7133379605747765e-05,1
1,4.20806171186257,1.3601205e-05,2.5607805,2.2456117,5.7233451890987695e-05,1
1,4.215445600662061,1.3601142e-05,2.5708172,2.2556865,5.7333879222698825e-05,1
1,4.222636711686106,1.3600887e-05,2.5808346,2.2657611,5.743168439836319e-05,1
1,4.229744044933386,1.3600188e-05,2.590852,2.2757404,5.75283502090877e-05,1
1,4.236727211515508,1.3600696e-05,2.6008694,2.2856815,5.762332731466316e-05,1
1,4.243676266986931,1.3600506e-05,2.6108871,2.2956991,5.7717840631912885e-05,1
1,4.2505581557925005,1.3601013999999999e-05,2.6209235,2.3059263,5.781144044676993e-05,1
1,4.257271044600114,1.3601906e-05,2.6309409,2.3157911,5.79027417405256e-05,1
1,4.263979988963333,1.3600696e-05,2.6409585,2.3258278,5.799398936475379e-05,1
1,4.270591044438848,1.3600887e-05,2.650995,2.3358643,5.808390592531265e-05,1
1,4.2771357110262755,1.3600887e-05,2.6610124,2.3459198,5.817291964166575e-05,1
